,precision,recall,f1-score,support
0,0.5,0.28,0.358974358974359,25.0
1,0.6774193548387096,0.4883720930232558,0.5675675675675677,43.0
2,0.6153846153846154,0.42105263157894735,0.5,38.0
3,0.3055555555555556,0.36666666666666664,0.3333333333333333,30.0
4,0.5614035087719298,0.7441860465116279,0.6399999999999999,43.0
5,0.5116279069767442,0.6111111111111112,0.5569620253164557,36.0
6,0.37142857142857144,0.41935483870967744,0.393939393939394,31.0
7,0.5869565217391305,0.6428571428571429,0.6136363636363638,42.0
accuracy,0.5173611111111112,0.5173611111111112,0.5173611111111112,0.5173611111111112
macro avg,0.516222004336907,0.4967000663073037,0.4955516303459342,288.0
weighted avg,0.5309226717535817,0.5173611111111112,0.5136640478333516,288.0
